,0,1,2,3,4,5,6,7,8,9,score
77,1,0,0,0,10,8,0,0,0,0,10.3
78,4,0,0,0,5,0,0,0,0,0,9.3
79,2,0,0,4,4,0,0,0,0,0,9.9
80,47,0,0,0,0,0,0,0,0,0,6.6
81,45,0,0,0,0,0,0,0,0,0,9.2
82,40,0,0,0,0,0,0,0,0,0,8.9
83,55,0,0,0,0,0,0,0,0,0,8.6
84,55,0,0,0,0,0,0,0,0,0,9.0
85,59,0,0,0,0,0,0,0,0,0,10.0
86,30,0,0,0,0,0,0,0,0,0,10.3
87,23,0,0,0,0,0,0,0,0,0,9.9
88,12,0,0,0,0,0,0,0,0,0,7.5
89,58,0,0,0,0,0,0,0,0,0,7.7
90,62,0,0,0,0,0,0,0,0,0,8.1
91,39,0,0,0,0,0,0,0,0,0,8.3
92,45,0,0,0,0,0,0,0,0,0,8.6
93,32,0,0,0,0,0,0,0,0,0,8.0
94,49,0,0,0,0,0,0,0,0,0,7.2
95,36,0,0,0,0,0,0,0,0,0,9.8
96,49,0,0,0,0,0,0,0,0,0,9.7
97,57,0,0,0,0,0,0,0,0,0,9.5
98,54,0,0,0,0,0,0,0,0,0,10.4
99,62,0,0,0,0,0,0,0,0,0,10.6
100,13,0,3,0,0,0,0,0,0,0,10.0
101,1,1,0,2,6,3,0,0,0,0,4.8
102,13,4,2,0,0,0,0,0,0,0,7.8
103,31,0,0,0,0,0,0,0,0,0,6.4
104,30,3,0,0,0,0,0,0,0,0,8.1
105,9,0,0,6,0,0,0,0,0,0,8.6
106,50,0,0,0,0,0,0,0,0,0,6.0
107,3,4,0,0,0,0,0,0,0,0,9.9
108,36,0,0,0,0,0,0,0,0,0,9.5
109,41,0,0,0,0,0,0,0,0,0,6.4
110,37,2,0,0,0,0,0,0,0,0,9.9
111,39,0,0,0,0,0,0,0,0,0,8.1
112,12,0,0,0,0,0,0,0,0,0,7.8
113,39,0,0,0,0,0,0,0,0,0,7.8
114,6,1,3,1,0,0,0,2,0,0,7.6
115,49,0,0,0,0,0,0,0,0,0,5.3
116,42,0,0,0,0,0,0,0,0,0,5.5
117,38,0,0,0,0,0,0,0,0,0,9.1
118,7,1,0,0,5,1,0,0,0,0,9.4
119,5,0,0,0,4,0,0,0,0,0,9.3
120,53,0,0,0,0,0,0,0,0,0,9.2
121,42,0,0,0,0,0,0,0,0,0,9.6
122,38,0,0,0,0,0,0,0,0,0,8.3
123,47,0,0,0,0,0,0,0,0,0,6.4
124,4,2,3,0,0,0,0,0,0,0,8.7
125,3,6,0,0,0,0,0,0,0,0,7.2
126,15,0,2,0,0,0,0,0,0,0,9.9
127,16,0,0,0,0,0,0,0,0,0,9.0
128,47,0,0,0,0,0,0,0,0,0,10.1
129,53,0,0,0,0,0,0,0,0,0,7.8
