alpha_F,beta_F,alpha_P,beta_P,alpha_O,beta_O,score,score_label
0.06578469492682228,0.3563861112228849,0.15057511224696646,0.33274442384618474,0.1178663173817005,0.4549891369790912,10.3,1
0.10317718279929992,0.2379287227344837,0.04381647026730926,0.10598898027312158,0.059268989366580926,0.19588980051710855,5.5,2
0.14932292929945665,0.3097351725264648,0.11329766305903405,0.2820053724958493,0.08574160430650787,0.34945906569382496,10.2,1
0.0348953062236952,0.08217642411311836,0.07960572698854497,0.16493603736325008,0.18134654566327624,0.5760363972943456,5.7,2
0.029933358454825813,0.121359746728924,0.03594471877711752,0.10223971974060228,0.1280644482312885,0.5515754150850155,10.4,1
0.11107546640367692,0.19676577405705206,0.1747385663994505,0.1533193007170053,0.12003687752524092,0.290050881523611,4.6,2
0.027776685237217685,0.07671649019739768,0.07111703936572013,0.1482639557903007,0.16934661654290195,0.41430216892998173,10.4,1
0.027591494460328447,0.07653345796410757,0.026912801830538638,0.06663037780237895,0.133219680760174,0.5973359815739804,10.7,1
0.0336074777597568,0.11057595293744148,0.07481174862242856,0.1807559253295017,0.2021790458849444,0.5759652992835145,10.8,1
0.060820108087134575,0.24657719965236174,0.09180597332793183,0.14668257068420462,0.11501578025216465,0.35846259255072244,10.4,1
0.06410160956766132,0.20480254938166945,0.015741955811802228,0.033177223939462215,0.10653667587028806,0.3940559067745206,10.6,1
0.10258464822151417,0.09926806494846806,0.2352005400711161,0.1560561622458018,0.19125603889174705,0.2540627934028525,6.0,2
0.02686148850799135,0.09274510187653698,0.0720959543014889,0.34250758584399205,0.09515153925768433,0.5263094724614975,6.0,2
0.12401579761030301,0.15527527500611146,0.1990928067798617,0.11238488382922557,0.20875768652628496,0.2981725890671513,10.4,1
0.2067176209803614,0.17215399160295544,0.07611660023105353,0.14690012405937075,0.11957586663732345,0.20593230574653448,10.5,1
0.07967366667811199,0.10188353660961233,0.09619215904692416,0.35124201372568137,0.15290349685339144,0.5462954938506691,5.7,2
0.03726144678304677,0.13915543848590572,0.033823011032206564,0.08599004314691594,0.01060996316771305,0.03350907447235002,10.8,1
