,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
46,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
52,1,0,0,0,0,1,2,1,0,0,2,1,0,0,0,0,0,0,0,0
53,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
54,0,1,0,0,2,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0
55,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
56,0,0,1,0,3,0,1,7,0,0,1,4,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,5,1,0,0,6,5,0,0,0,0,0,0,0,0
59,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,2,0,1,3,0,0,0,1,2,0,0,0,0,0,0,0
61,1,0,0,0,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0
62,1,6,4,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0
63,21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,4,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,2,2,2,2,3,2,0,0,0,4,2,2,0,0,0,0,0,0,0
71,0,0,0,0,6,0,0,3,6,0,0,0,4,1,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0
74,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
75,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
76,2,0,0,0,2,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0
77,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0
