,delta_Fp,theta_Fp,alpha_Fp,beta_Fp,gamma_Fp,delta_F,theta_F,alpha_F,beta_F,gamma_F,delta_FC,theta_FC,alpha_FC,beta_FC,gamma_FC,delta_M,theta_M,alpha_M,beta_M,gamma_M,delta_P,theta_P,alpha_P,beta_P,gamma_P,delta_O,theta_O,alpha_O,beta_O,gamma_O,score
20,0.08883318918836608,0.08141306174506398,0.06460316785057472,0.25896855273571256,0.13737537428859303,0.12403518273701952,0.1094215242562567,0.0707835863194423,0.22730852565606793,0.11259161476708753,0.10672772880532942,0.12151228077242168,0.10986107082155258,0.2248730829593527,0.1291300528638128,0.10134108470940636,0.141022764492093,0.12458318088524085,0.3283010231003194,0.10597331031739744,0.09151425872242132,0.09948266854573024,0.09913327898145739,0.22219897200737898,0.13414917718832867,0.06691496522158974,0.09511926709864121,0.09828115420521674,0.2629031859340457,0.15453510487741823,10.3
21,0.06091753831921979,0.06585670702103874,0.06747162517229516,0.60185558525923,0.17801803440901917,0.11996581697359088,0.09945732299119944,0.06811354484550569,0.4210828215403349,0.11869194647186443,0.19325204823401737,0.16246611248699988,0.11895942749578749,0.37389102468936863,0.08309785503114148,0.16664093510363384,0.18514682144393863,0.16927421259604047,0.3530522878728695,0.06852741730419903,0.18787318003909997,0.2036239480324263,0.18687322121561661,0.320406929160961,0.03009401359564672,0.11586932804994174,0.16246874704152042,0.1893100336332617,0.4492269628146449,0.05059056041552117,7.9
22,0.19175253310127047,0.16292666316294402,0.1018920520043085,0.30233400802091187,0.1337482301007946,0.19970517345621921,0.13802273947769722,0.05965955808433434,0.23230943214347977,0.09194429245890867,0.13828689166743935,0.11365819401465899,0.08578244159967087,0.2797127403983951,0.11492650983958702,0.1608692344381072,0.16854263520495577,0.1940987620297035,0.3329456833799429,0.04518321925580684,0.1661413483837137,0.14507041743246657,0.13281217696224976,0.21281348899112257,0.06529314464505812,0.19295118772918843,0.16906371577066992,0.16350521968741022,0.2861563453781156,0.05091523034705016,9.9
23,0.07127725041903464,0.06891073365375748,0.05096065164914131,0.6058501947685511,0.1642107158193443,0.1270701225426778,0.12711373727197733,0.1142942152490318,0.4935998150704114,0.08766934844415589,0.12600259437772882,0.1403049858193367,0.13830646182868872,0.47411518238137,0.08058852216816337,0.10943138015902582,0.17112388632502862,0.1952584750947942,0.4378895924445522,0.052809834901051456,0.14630539884364577,0.147982996283103,0.13125213074075143,0.4376291146576504,0.08556972232807333,0.13681431102180333,0.14892107070544913,0.17127586161744404,0.40426130133299104,0.09010074683375405,6.7
24,0.09711846220510718,0.06793656818807749,0.03458330404666322,0.15252020198103122,0.17465446385844574,0.06516733009838964,0.07283954939202958,0.052602222156433634,0.22080289726677912,0.17717519976752127,0.07789011589120157,0.09980225113290045,0.07281457759460326,0.24303267637348488,0.13215736219043006,0.04937488721496024,0.09439872065488361,0.08154963531966246,0.29517398376054543,0.22378474064116494,0.03011523951657309,0.05087467345457357,0.06072737938958124,0.2120933110632131,0.17978191930898568,0.023634750653792082,0.05055614325117957,0.06954174374296121,0.2511871114868201,0.1943775819361157,9.3
25,0.2842817061276045,0.19444968956229627,0.07738434151686958,0.1617670852312629,0.0487260387859974,0.2530970410609192,0.2175163121926845,0.13788430167398044,0.2556406102592578,0.024191241465876617,0.29052795408836773,0.23951217081659132,0.13505792278348658,0.24941012128039353,0.013644896374353064,0.32368983044122923,0.25291218737220433,0.13534162776496697,0.16403873976577,0.014535996615874392,0.1801475254858405,0.19397165370386021,0.17697249965821057,0.3160705519796836,0.042130665121515566,0.24452919259909833,0.21678205242851922,0.17698047052040267,0.25965980384272447,0.012527760123885217,6.4
26,0.13232153272943104,0.1068278975616524,0.09781598642952856,0.18220444744813724,0.1065035452356799,0.14723393825038752,0.12660513164290949,0.07734786446127903,0.2194250911134123,0.11028770468089374,0.16407038798137494,0.13783410758478182,0.08492321682962481,0.18909107598023164,0.08683011350384712,0.1282865701657116,0.14991366344519796,0.0996554949611566,0.2977012445154451,0.12325044726913728,0.08724759116081193,0.09381898694993192,0.0771539691495141,0.2382801963428344,0.13009534712271004,0.06192328423131857,0.04641136937998055,0.03748552731057194,0.256726012522839,0.1619253471236442,9.4
27,0.2793233104125139,0.19695160898239103,0.1359680332944603,0.16353709632556462,0.03507597304332622,0.33077129331573996,0.2265590522711986,0.13320726609184577,0.17913999168036168,0.015202298057274077,0.32418731802104067,0.2305356816542791,0.1526987018772252,0.17328640729229647,0.018857817999539513,0.17641495084136988,0.17298085847043604,0.15384762366732474,0.33009381848849106,0.06734990264035895,0.20756428230672253,0.16593843155551108,0.1375432390763272,0.3180590808037498,0.07544180445400679,0.22839788380297174,0.17265194845910514,0.12291495596804376,0.3030662454591846,0.05267903974697826,4.9
28,0.12694622025783653,0.14419516534504828,0.09718567059734139,0.3827458805898065,0.16446494993817667,0.12114920398290319,0.13913495308916568,0.13959908440823704,0.4360972490209177,0.11529671365477227,0.17532974555462105,0.16542096473676082,0.15101737505014612,0.3728494463153624,0.06906136760718112,0.06846327641797109,0.1695141281289811,0.17091753451442393,0.49566459823804,0.07748685826930546,0.16254499386918997,0.16762905685254476,0.14179515743409912,0.3895346515854902,0.05351556824221212,0.13989945995590125,0.197256502271105,0.17833486325603765,0.3880363008572113,0.05389108179214497,9.6
29,0.20946104755409675,0.15124377338085435,0.11286251436776688,0.21884659141378285,0.06401435571468105,0.2878458693649497,0.21798829832240552,0.15028562387669753,0.20125210459730614,0.027880604748081052,0.300023710969583,0.22334944275323063,0.16260456495818007,0.19473086585801438,0.026811006381036843,0.27984999890281864,0.21470410154233188,0.14323665925767026,0.21116685100143312,0.048677995806165414,0.24525656640205554,0.1758773713704583,0.12113694195193898,0.29653038791757014,0.057354327639981814,0.36472583446376877,0.21214096348568526,0.0853846253293911,0.17131179022514612,0.04369288324122027,6.5
30,0.13396372442083904,0.12969739831962582,0.1344929227049509,0.39259023562146006,0.11739849260068162,0.16667585340355395,0.15859666620594604,0.14604790942129722,0.4100409645497133,0.06133938164896885,0.2413216926194834,0.1986292639036547,0.14971644044423651,0.2937969115676063,0.04439185015814654,0.11034832733614355,0.14075994274758624,0.1276679304125542,0.48824316819031727,0.10211466375499056,0.17342620188460364,0.16882610783769247,0.14709682578301886,0.34781846060517757,0.0654271947793665,0.159759650784923,0.1270943427238956,0.12996934492783238,0.411256648577985,0.10742102328767814,9.2
31,0.17959240899941042,0.14320256391273178,0.08026325815194293,0.27145121569751346,0.06393649250285285,0.2329446247158095,0.1968863903577489,0.152943257655483,0.24897625582746485,0.0331171234536036,0.2582073358838424,0.20956391837172875,0.1428570803994076,0.27751071686181517,0.021111929251700044,0.27517807880350326,0.17086436444325986,0.09262244734869986,0.2916430560733034,0.07342454376483414,0.20546293537296126,0.17081567722517293,0.1281768020038819,0.3383363699271385,0.06129897633836109,0.32589692056908903,0.21196240123867144,0.0902478917455875,0.2015470903680684,0.05237100641348665,7.7
32,0.24131504520047584,0.17702633780595675,0.08384427488701547,0.32073382999164735,0.07678769278042072,0.24652705585268592,0.18596968916822035,0.10297445029249559,0.32088468165353473,0.06782944328513343,0.25676219414064694,0.21952525236435708,0.15893297167712062,0.2508583018879247,0.03919237127599505,0.17667466775634963,0.193446853915255,0.16783644308870468,0.34982197848924346,0.06356292066031013,0.2385325650233659,0.18516343354502168,0.10208500093202919,0.32163537223870253,0.04702008592877288,0.2635110477366428,0.22686320588478015,0.08331695788583375,0.2933167472891282,0.048649941689842456,9.6
33,0.15976754771847537,0.136545425954988,0.11505927741792109,0.26851736383747227,0.07620527064193686,0.25669883413329453,0.21735732382037068,0.17305360699076208,0.21267361843687307,0.025619835008640755,0.26601165976489216,0.2280045838623146,0.16742877714154628,0.22857925437837007,0.02162552774747971,0.2768646664758126,0.21028230771532877,0.11326538373481503,0.23371188537571852,0.06270025481211326,0.2210796081015965,0.1837569445695108,0.10322121081014049,0.3025676443467988,0.08657237503647355,0.33592767252381006,0.24197187327911615,0.08378259088963108,0.178356501530181,0.044367047523122205,6.4
34,0.3020169800533092,0.20491307634901038,0.04066159962436103,0.26161451928567797,0.08836568310773617,0.32870353746277114,0.2161000030337082,0.05181257493185942,0.22449342352671167,0.08144182700990814,0.26646805900763837,0.19765966943402805,0.07866468731967485,0.28794945225409274,0.08358352561715798,0.23322683899049032,0.22643854074907266,0.12672870056698682,0.32075591188510194,0.036172585061386875,0.26383505147173214,0.19056398938159544,0.06004418535461413,0.3201919493714255,0.07511186707351494,0.3054008620859399,0.21399573970750946,0.06824994079678903,0.28144500164619135,0.04076824888611018,10.7
35,0.13181337587195177,0.09911471793720746,0.06337805105480605,0.5448242418895903,0.11234813310591196,0.20956185805221592,0.1571176381211033,0.10990830789205083,0.3751174938978866,0.07493966465867793,0.23506578465787742,0.17767858295695582,0.10284083662897509,0.3475260009602511,0.052647435983204954,0.08238498085211217,0.11018808858473648,0.13872607003503035,0.5881384702309536,0.053126642098010914,0.18619821016427776,0.13144558496479183,0.0895661125038521,0.4364958981404863,0.0911613586405965,0.15076132810701476,0.12218814864666971,0.1010781518646473,0.4110398581564984,0.15696345281956608,7.9
36,0.04800259730755338,0.07844860278910276,0.0800834991343252,0.5219358479839022,0.16406619234402994,0.1017039141303332,0.12546894548953552,0.12292056371558306,0.49453102486568906,0.12163110605477215,0.17208592601840875,0.18276142708009446,0.15452842343778186,0.37788346841262865,0.06941104943377858,0.09096806281804824,0.18018881497628897,0.17186587121179714,0.44994762039041214,0.07862388122718592,0.19819034681047182,0.18183589672233627,0.12483537254745462,0.37213931789018523,0.04865449981003847,0.11061116928892004,0.20210619478872027,0.15793517409298974,0.42596624098514657,0.05706295743743134,9.4
37,0.2726173156744583,0.19329067534467156,0.0772646071990797,0.27691273940280153,0.086556725455558,0.21695444276505227,0.15878816085551567,0.10366907280917417,0.32759147180435116,0.11495280064641325,0.29211960516384705,0.2060775956776305,0.09941367221045026,0.24821023352135574,0.059298022291100934,0.2577266542301028,0.1734586584296396,0.10501245578200837,0.32025247619985436,0.06497324906520377,0.1769533765121804,0.13397941437896196,0.09654096954716404,0.39832468966556966,0.11721717546929813,0.11470088749249119,0.10453645289163707,0.09346875510626776,0.4990053371831913,0.1397562132716656,7.3
