,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
122,7,0,0,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0
123,0,0,0,0,0,14,8,3,0,0,0,0,0,0,0,0,0,0,0,0
124,6,1,6,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
125,1,0,0,2,1,0,1,4,0,0,0,0,2,1,0,0,0,0,0,0
126,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,3,3,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0
128,3,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
129,6,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0
130,0,0,0,0,5,0,5,6,0,0,0,2,1,0,0,0,0,0,0,0
131,2,0,0,1,1,0,3,5,0,0,0,0,1,0,0,0,0,0,0,0
132,0,0,0,0,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0
133,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
134,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,8,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
140,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,1,0,3,0,0,0,8,1,0,0,0,0,0,0,0,0
143,2,4,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0
144,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,2,5,0,5,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0
150,10,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
152,13,2,0,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,1,5,0,0,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0
154,0,1,0,0,1,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0
155,0,0,0,3,1,7,0,2,2,0,0,0,0,0,0,0,0,0,0,0
156,2,4,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0
157,6,4,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
158,0,0,0,1,3,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0
159,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,8,0,0,8,1,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0
